_original_index,comment_id,Topic,Name,Primary_Concern,Top_n_words,Probability
864,ICEB-2025-0001-0877,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
865,ICEB-2025-0001-0878,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
866,ICEB-2025-0001-0879,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
867,ICEB-2025-0001-0880,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
868,ICEB-2025-0001-0881,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
869,ICEB-2025-0001-0882,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
870,ICEB-2025-0001-0883,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
871,ICEB-2025-0001-0884,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
872,ICEB-2025-0001-0885,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
873,ICEB-2025-0001-0886,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
874,ICEB-2025-0001-0887,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
875,ICEB-2025-0001-0888,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,0.8984119936979752
876,ICEB-2025-0001-0889,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
877,ICEB-2025-0001-0890,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
878,ICEB-2025-0001-0891,0,0_students_international_rule_international students,Fixed visa limits and loss of duration of status,students - international - rule - international students - research - proposed - not - status - academic - education,1.0
