# Candidates from find_videos.py: review, then copy good lines into video_urls.txt
https://www.youtube.com/watch?v=319IzZ87cjU 2026-07-26   # Szew Law Group | 4,896 views | 🚨New F-1 Student Visa Rule Explained: D/S Ending, OPT, Transfers & I-9
https://www.youtube.com/watch?v=SQuYjDF0cyI 2026-07-28   # First Quicktake | 613 views | US Student Visa Rule Change 2026:  4-Year Limit for F-1 & J-1 Visas | 
https://www.youtube.com/watch?v=qPwKDZ0FwMI 2026-07-28   # US Immigration Power | 39 views | F-1 Visa CHANGED Forever: New DHS Rule Explained (2026)
https://www.youtube.com/watch?v=Fs4H8GW-4_M 2026-07-29   # WILNER & O'REILLY - IMMIGRATION LAWYERS | 3,486 views | BREAKING: F-1 Student Visa Rules Just Changed | What International Stu
https://www.youtube.com/watch?v=tsWNLFhNZnQ 2026-07-30   # ISSS Penn | 426 views | DHS Final Rule on Duration of Status: 2nd Session & 7/23 Recap
https://www.youtube.com/watch?v=bmE9i2hoQA4 2026-08-05   # Murtaz Law | 74 views | New USA Student Visa Rule 2026: What Every International Student Must 
https://www.youtube.com/watch?v=8wwO343OOzI 2026-08-06   # CSULB CIE | 285 views | Immigration Check In 2026- Understanding the DHS Final Rule End of Dur
https://www.youtube.com/watch?v=c6hWMS3vhq0 2026-08-07   # Malescu Law, PA, Business and Immigration Lawyers | 625 views | DHS Eliminates Duration of Status for F, J, and I Visa Holders
https://www.youtube.com/watch?v=yNzApnuH0YQ 2026-08-12   # American Institute of Physics (AIP) | 189 views | Understanding DHS's Duration of Status Rule | AIP Webinar
https://www.youtube.com/watch?v=HDRaOBV81sc 2026-08-12   # Venture State | 23 views | How the U.S. Turned Student Visas Into Fixed Checkpoints
https://www.youtube.com/watch?v=XK-JDk-BKfw 2026-08-13   # Manifest Law | 938 views | DHS Ends Duration of Status: What the Final Rule Means for Internation
https://www.youtube.com/watch?v=pm9dk_1i4Jc 2026-08-13   # Law Office of Louis S. Haskell | 165,541 views | New F-1 Visa Rules: What happens to students already in the U.S.?
https://www.youtube.com/watch?v=IcsJAVipeHY 2026-08-18   # Immigration USA Now | 194 views | F-1 Visa Duration of Status Is Ending — New Fixed Expiry Rule Explaine
https://www.youtube.com/watch?v=mhjBBY7qr9o 2026-08-20   # International Student Resource Center | 163 views | New Rule Eliminating Duration of Status (D/S) Takes Effect September 1
https://www.youtube.com/watch?v=tNy-BYfCCw8 2026-08-24   # Immigration News | 463 views | Major F-1 Student Visa Changes Coming September 15||New Rules Every In
https://www.youtube.com/watch?v=NsXhxmPcdps 2026-08-26   # Tsang & Associates, PLC | 7,438 views | F-1 Duration of Status Change: What HR Needs to Know
https://www.youtube.com/watch?v=-E7UOw6ZWPA 2026-09-06   # Visa Guide USA | 62 views | F-1 & J-1 Visa Alert — New Fixed Admission Rules Explained — Effective
https://www.youtube.com/watch?v=zcxSK8hGw9M 2026-09-08   # The American Bazaar | 935 views | New U.S. Immigration Rules Sept. 15: What H-4, F-1 & J-1 Visa Holders 
https://www.youtube.com/watch?v=BpgN9dlK3es 2026-09-14   # Visa Guide USA | 344 views | F-1/J-1 Visa SHOCK: “Duration of Status” Is ENDING -What Every Student
https://www.youtube.com/watch?v=6WKn9XY_2XY 2026-09-21   # ATLAS FUTURE | 53 views | The New F-1 Visa Rules Could Change Studying in America
https://www.youtube.com/watch?v=UgAdvbTUhNY 2026-09-23   # Immigration USA Now | 359 views | F-1, J-1 & I-Visa Rule BLOCKED Hours Before It Ended Your Legal Status
